LOCATION,TIME,PC_HEALTHXP,PC_GDP,USD_CAP,TOTAL_SPEND,Y1,Y2
AUT,2015,12.407,1.28,632.737,5462.53,-0.2947373181680619 , 0.697084418995131
BEL,2015,14.209,1.489,678.971,7654.85,0.2442191745179364 , 0.4204036551102013
CZE,2015,17.323,1.25,421.663,4446.88,-0.7171706493221779 , -0.32371839819535436
DNK,2015,6.758,0.698,341.823,1942.75,-2.2442635968488616 , 1.176085506071759
FIN,2015,12.546,1.185,501.003,2745.26,-0.8151009571771177 , 0.4482901373609603
FRA,2015,14.738,1.631,667.551,44474.96,0.7445554394979521 , 0.40834486688874533
DEU,2015,14.31,1.596,765.97,62569.49,1.0852272973909078 , 0.81865070175598
GRC,2015,25.878,2.17,571.913,6188.6,1.473411626134168 , -1.7795760046032447
HUN,2015,29.215,2.114,558.878,5501.05,1.4876885419493395 , -2.136799764504965
ISL,2015,12.126,1.044,497.84,164.69,-1.0773623222632296 , 0.6045011183734972
IRL,2015,12.97,1.007,684.269,3200.21,-0.5653736631564996 , 0.9941130143023991
ITA,2015,17.932,1.613,601.018,36500.17,0.6070106420730076 , -0.13305858480361193
KOR,2015,21.427,1.584,543.152,27708.87,0.482539710826108 , -0.6825090525211649
LUX,2015,8.601,0.52,586.428,334.03,-1.7836096579965097 , 1.6934387914299596
MEX,2015,27.201,1.595,286.825,36108.67,0.11018785309163581 , -1.8903351474757202
NLD,2015,7.865,0.841,416.594,7057.07,-1.734406156905617 , 1.1213532494166603
NOR,2015,7.655,0.764,473.844,2458.59,-1.7411618104637 , 1.3237165315619763
POL,2015,20.966,1.33,357.184,13568.14,-0.5447480591090157 , -0.9062249062111494
PRT,2015,15.5,1.391,412.877,4276.61,-0.6040363087872053 , -0.27097539676937527
SVK,2015,26.866,1.85,553.268,3000.82,0.9500392743013765 , -1.6549573604865344
ESP,2015,17.995,1.649,572.253,26579.83,0.5074320685505248 , -0.2957687194495545
SWE,2015,9.851,1.085,518.78,5083.62,-1.0145689906238837 , 0.8982819247861379
CHE,2015,14.014,1.69,1056.053,8746.65,1.5808617955984476 , 1.1382100346822495
GBR,2015,12.057,1.191,497.394,32394.7,-0.6011102908260182 , 0.6548777189615561
USA,2015,12.227,2.068,1162.399,373009.91,5.264180090292092 , 3.2698615754174267
EST,2015,18.22,1.187,343.486,451.82,-1.0206223566183887 , -0.5700673065080227
SVN,2015,18.33,1.566,500.567,1032.94,-0.0036323068850189857 , -0.5656841495041
LVA,2015,26.761,1.542,383.852,759.08,-0.005110581688132579 , -1.7636875824831886
LTU,2015,26.784,1.745,504.422,1465.3,0.6406636144684146 , -1.6704365653299762
RUS,2015,22.939,1.286,309.9,44655.62,-0.4110021018524772 , -1.0234143062686836
